[2026-01-19--17-08-31 INFO actix_server::builder] starting 5 workers
[2026-01-19--17-08-31 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-01-19--17-08-31 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-01-19--17-08-31 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-01-19--17-08-32 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001779
[2026-01-19--17-08-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59374.
[2026-01-19--17-08-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000101
[2026-01-19--17-08-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59388.
[2026-01-19--17-08-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000114
[2026-01-19--17-08-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59390.
[2026-01-19--17-12-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41716.
[2026-01-19--17-13-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39150.
[2026-01-19--17-13-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39164.
[2026-01-19--17-13-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39170.
[2026-01-19--17-13-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39172.
[2026-01-19--17-13-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38504.
[2026-01-19--17-13-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38508.
[2026-01-19--17-13-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38518.
[2026-01-19--17-13-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38528.
[2026-01-19--17-13-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36746.
[2026-01-19--17-14-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44682.
[2026-01-19--17-14-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59750.
[2026-01-19--17-14-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47020.
[2026-01-19--17-14-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50090.
[2026-01-19--17-15-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48110.
[2026-01-19--17-15-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38690.
[2026-01-19--17-15-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44700.
[2026-01-19--17-15-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44616.
[2026-01-19--17-16-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37760.
[2026-01-19--17-16-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58358.
[2026-01-19--17-16-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53800.
[2026-01-19--17-16-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41458.
[2026-01-19--17-17-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48510.
[2026-01-19--17-17-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45400.
[2026-01-19--17-17-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49290.
[2026-01-19--17-17-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41450.
[2026-01-19--17-17-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53220.
[2026-01-19--17-18-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38702.
[2026-01-19--17-18-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37762.
[2026-01-19--17-18-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35688.
[2026-01-19--17-18-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33296.
[2026-01-19--17-19-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46790.
[2026-01-19--17-19-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57658.
