[2026-01-16--14-55-09 INFO actix_server::builder] starting 5 workers
[2026-01-16--14-55-09 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-01-16--14-55-09 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-01-16--14-55-10 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-01-16--14-55-11 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000488
[2026-01-16--14-55-11 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000512
[2026-01-16--14-55-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47710.
[2026-01-16--14-55-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47712.
[2026-01-16--14-55-11 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000250
[2026-01-16--14-55-11 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000257
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 7612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.003433
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000152
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/0d143f211c7df892.css HTTP/1.1" 200 27323 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.005318
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-cd9d82e885c4ebdc.js HTTP/1.1" 200 4721 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001269
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/b18b83b3-e1c480e403eefb06.js HTTP/1.1" 200 55445 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.009026
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/04c1a432-edb03f65b9f1a1ca.js HTTP/1.1" 200 2700 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001135
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-f867690012ee20f6.js HTTP/1.1" 200 222 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001094
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8298-3afc860dfe3c7887.js HTTP/1.1" 200 44395 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.011390
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/1365-1770d8165586a8c0.js HTTP/1.1" 200 7706 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.004127
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8370-021758b1cd213679.js HTTP/1.1" 200 88250 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.022056
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/layout-9fda25069afc2794.js HTTP/1.1" 200 12398 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.003460
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8250-8d8b91de503069bf.js HTTP/1.1" 200 8463 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.004620
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/bd665b6f-d5ed9f4f3ae4ccb0.js HTTP/1.1" 200 14450 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.020926
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/69-2de999b83ce7b365.js HTTP/1.1" 200 80601 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.022257
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/2791-26d0c10b12b568d6.js HTTP/1.1" 200 15050 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.015466
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8122-64562bcd06159a5c.js HTTP/1.1" 200 16899 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.004072
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/page-4a2892b714895647.js HTTP/1.1" 200 11473 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.010746
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000200
[2026-01-16--14-55-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47722.
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /accounts.txt?_rsc=3lb4g HTTP/1.1" 200 1599 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000634
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /scenarios.txt?_rsc=3lb4g HTTP/1.1" 200 1602 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000839
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000155
[2026-01-16--14-55-15 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/scenarios/page-1f7657501a385f81.js HTTP/1.1" 200 8792 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.002172
